168,4,LB,2
252,21,DB,4
251,6,DB,3
122,13,DP,5
54,23,LP,3
245,16,DP,6
157,4,DP,4
72,11,DB,5
144,13,LB,6
200,20,LG,2
193,13,DP,6
18,18,LB,3
18,23,DB,5
190,12,LB,1
255,23,LB,5
189,18,DB,1
37,15,LB,5
94,26,DP,6
189,13,DB,1
143,22,DG,6
137,8,DP,2
206,18,LP,5
91,13,DG,6
230,5,LB,1
254,10,DG,6
195,4,DP,5
176,6,LP,5
22,4,LP,6
75,13,DP,3
211,21,DB,5
33,25,LB,4
101,14,DP,4
135,21,LB,4
56,5,DP,4
14,20,LG,3
63,4,LB,2
77,15,DB,4
197,23,LP,2
107,8,DP,5
82,10,DB,6
165,19,LP,1
30,18,LB,1
114,14,LG,3
147,6,DB,5
241,10,DP,6
39,18,LG,6
7,25,DP,1
144,11,LG,5
44,6,LP,1
148,25,LP,4
170,4,DG,6
41,20,LB,6
58,9,DG,6
21,23,LB,6
46,24,LP,3
2,5,LB,1
90,19,DG,2
95,19,DG,1
256,17,LP,1
5,23,DB,4
30,11,LB,2
98,8,LP,1
108,5,LP,4
128,24,LP,6
192,13,LG,5
152,7,DG,2
190,18,DG,1
241,26,DP,6
217,4,LP,3
258,8,DP,6
19,13,LG,5
87,21,LB,2
13,22,DP,2
202,11,LB,6
198,23,LG,6
205,22,DB,4
144,17,LB,3
87,25,LG,4
16,13,DP,6
132,5,DP,2
34,17,LG,6
39,27,LG,3
247,21,DB,1
50,20,DB,6
159,17,DG,1
49,26,DG,4
78,17,LP,6
42,5,DB,1
181,14,DG,1
1,8,DB,1
22,5,DB,5
178,23,DB,4
84,24,DP,5
143,19,DB,1
253,4,LP,4
62,18,LB,6
80,6,DG,4
164,20,LP,6
160,17,LP,1
259,19,LG,4
205,12,DG,5
235,19,LG,2
176,7,DP,4
237,10,DB,6
88,4,DB,2
134,23,LB,1
118,23,DG,5
216,24,LB,3
2,9,DP,5
33,4,LG,6
208,6,LB,2
181,15,LG,1
11,12,LP,5
225,23,DG,5
146,27,LP,6
132,27,LG,4
238,25,LP,4
142,23,DG,6
26,4,DP,6
12,23,DP,6
137,13,LB,2
173,18,DB,1
132,21,DB,5
18,16,LG,6
0,14,LB,3
59,6,LB,4
252,17,LB,1
226,12,LP,5
147,20,LB,4
30,4,DP,1
152,24,LP,4
241,13,DP,2
259,4,DG,1
50,23,LP,4
80,21,LB,5
113,24,LP,3
215,17,DB,6
211,24,LG,4
185,15,LG,1
243,14,DB,2
23,12,DB,6
15,23,DG,3
151,6,LP,5
227,8,LG,1
245,26,LP,4
184,11,DG,2
246,26,DB,2
10,20,DP,4
46,12,LP,5
13,10,LB,4
204,16,LB,5
11,16,DG,1
140,19,LB,1
198,19,DG,4
