2474,5,DB,3
1897,18,LG,6
2017,23,DG,2
1542,19,DG,3
1782,21,DB,4
199,25,DB,3
1585,10,DB,6
1333,27,LP,5
1064,26,LP,1
100,8,LB,2
348,9,DG,1
2056,4,DB,2
734,25,DB,5
1860,15,LP,3
2207,6,LG,2
321,13,DB,1
1890,4,DB,2
2158,18,DG,6
356,6,LG,5
1429,15,DG,6
1852,21,DB,4
1438,4,DB,5
1934,10,LB,5
1354,21,LB,6
1706,4,DP,6
2094,5,DB,3
593,4,DG,4
2164,25,LP,6
931,19,DP,5
2166,23,LG,2
32,6,DB,1
2327,18,DB,1
586,20,LB,1
6,4,DG,2
268,20,DP,4
752,5,LP,4
1093,16,LP,1
1679,4,DP,1
1194,13,DB,3
2268,12,DB,6
2310,11,LB,5
1489,26,DG,3
2391,18,DP,3
816,5,LG,2
1926,24,DB,4
2255,10,LB,2
1256,27,LP,1
1425,23,DG,1
920,17,DG,4
1224,11,LB,3
1866,9,DG,6
2492,9,LP,5
1271,6,DG,2
1880,25,LB,1
941,21,DG,5
890,26,LP,1
337,20,LB,3
2030,17,LP,1
858,19,DG,1
1440,19,LP,1
2156,22,LG,1
2062,4,LB,3
1120,14,DB,6
356,20,LG,3
2482,18,LP,4
1322,5,DP,3
36,6,DP,5
1395,8,LG,2
2397,22,LB,1
631,22,DP,1
1698,11,DG,1
1265,20,DB,4
1187,13,DP,4
416,5,LP,3
2076,9,DB,3
83,4,LP,6
209,17,LB,5
2260,5,DG,4
418,12,DG,2
682,14,LG,5
866,18,LG,6
2451,19,LB,2
1253,13,LB,3
1729,23,DB,1
1764,9,LP,6
1229,22,LG,5
1925,13,DG,4
2192,13,LP,5
1192,12,DB,1
624,14,LP,3
578,10,LB,2
157,18,DP,4
2035,13,LB,1
2117,16,LB,3
2330,5,DP,6
131,4,LB,1
1320,24,LP,3
1045,26,LB,2
1562,11,DB,5
1914,27,DG,4
1589,15,DB,2
1776,24,DP,4
2456,7,DG,4
804,6,DG,2
621,19,LP,1
1040,19,DP,1
2259,4,DB,5
638,24,DG,4
1822,26,DB,5
1182,10,LP,1
800,4,DB,5
1800,17,LP,2
70,17,DP,4
1681,10,LP,1
1837,12,DP,4
1972,9,DB,2
2311,25,LG,1
1544,24,DB,3
2182,10,DB,5
1443,4,DG,4
1554,23,DG,6
2126,23,LG,4
631,23,LB,5
270,24,LB,4
1730,22,LG,6
2253,22,DG,6
362,20,DG,6
2277,4,LP,2
407,17,DB,6
1672,24,DP,5
2370,17,LG,3
886,10,DG,2
288,4,LB,4
160,6,DG,3
2205,14,LB,6
1369,4,LG,2
1629,22,LP,6
2482,12,LG,1
1366,13,LB,6
893,4,LG,4
1101,19,DB,5
2204,5,DB,2
2240,7,DP,1
1885,14,DB,4
2302,12,DB,4
1612,14,LP,1
2087,4,DP,4
1310,18,LB,3
1893,16,LB,1
2326,4,DB,3
2298,11,DP,2
445,16,LP,5
1336,24,LG,2
1110,17,DB,2
2353,24,DB,4
2232,6,LP,6
248,25,LP,6
2189,19,LP,5
2226,18,DP,5
1509,16,DG,3
565,23,DP,6
1598,10,DP,2
724,7,DP,1
1846,24,LB,3
19,22,DP,2
258,14,DG,6
1015,12,LP,1
1946,25,LP,4
214,13,DB,4
806,13,LG,3
2208,4,LP,1
1106,20,DG,5
23,18,LP,5
2136,11,DB,2
436,6,LP,2
1751,13,DB,5
613,15,DG,5
1306,13,LP,1
1309,21,DB,5
985,8,DP,5
91,20,LB,1
1867,8,DB,4
853,14,LB,6
2129,24,DB,1
264,6,LB,6
201,16,LP,2
2120,21,DB,1
1928,24,LB,1
2139,24,LG,6
